iter	Passed	Remaining
418	51004	70725
419	51120	70595
420	51232	70460
421	51375	70367
422	51501	70251
423	51624	70131
424	51748	70012
425	51859	69876
426	51980	69753
427	52125	69663
428	52282	69588
429	52413	69478
430	52539	69361
431	52673	69255
432	52793	69132
433	52908	69000
434	53030	68879
435	53157	68762
436	53325	68700
437	53470	68608
438	53588	68480
439	53714	68363
440	53838	68244
441	53955	68115
442	54074	67990
443	54185	67854
444	54295	67717
445	54406	67581
446	54518	67447
447	54644	67329
448	54762	67203
449	54881	67077
450	54999	66950
451	55116	66823
452	55232	66693
453	55349	66565
454	55471	66443
455	55582	66309
456	55715	66200
457	55829	66068
458	55944	65939
459	56066	65817
460	56179	65684
461	56295	65556
462	56414	65431
463	56542	65316
464	56663	65193
465	56785	65071
466	56908	64950
467	57023	64821
468	57145	64699
469	57304	64620
470	57453	64528
471	57581	64412
472	57703	64291
473	57831	64175
474	57945	64044
475	58070	63926
476	58190	63802
477	58319	63688
478	58438	63562
479	58561	63441
480	58683	63319
481	58804	63196
482	58924	63072
483	59042	62946
484	59150	62809
485	59273	62688
486	59392	62563
487	59510	62437
488	59626	62309
489	59748	62187
490	59880	62075
491	59998	61949
492	60114	61821
493	60240	61703
494	60356	61575
495	60465	61440
496	60591	61322
497	60720	61207
498	60839	61082
499	60953	60953
500	61063	60819
501	61186	60699
502	61299	60568
503	61416	60441
504	61539	60320
505	61654	60192
506	61769	60064
507	61894	59944
508	62014	59821
509	62133	59696
510	62253	59573
511	62366	59442
512	62485	59318
513	62616	59205
514	62752	59096
515	62883	58983
516	63007	58863
517	63132	58745
518	63251	58620
519	63361	58487
520	63482	58365
521	63612	58250
522	63733	58128
523	63848	58000
524	64022	57924
525	64212	57864
526	64381	57784
527	64502	57661
528	64623	57538
529	64746	57416
530	64860	57287
531	64977	57161
532	65094	57033
533	65205	56902
534	65313	56767
535	65431	56642
536	65548	56515
537	65659	56384
538	65767	56249
539	65884	56123
540	66008	56003
541	66122	55875
542	66233	55743
543	66339	55608
544	66455	55481
545	66574	55356
546	66688	55228
547	66804	55101
548	66927	54980
549	67043	54853
550	67159	54727
551	67276	54601
552	67405	54485
553	67517	54355
554	67623	54220
555	67738	54093
556	67867	53977
557	67983	53850
558	68088	53715
559	68201	53587
560	68312	53456
561	68427	53329
562	68540	53201
563	68657	53075
564	68776	52952
565	68906	52836
566	69063	52741
567	69202	52632
568	69323	52510
569	69432	52379
570	69542	52248
571	69662	52124
572	69779	52000
573	69897	51875
574	70031	51762
575	70145	51635
576	70260	51508
577	70376	51382
578	70501	51262
579	70611	51132
580	70735	51012
581	70856	50890
582	70974	50765
583	71094	50642
584	71212	50517
585	71321	50387
586	71440	50264
587	71560	50141
588	71665	50007
589	71782	49882
590	71905	49762
591	72022	49637
592	72146	49516
593	72273	49399
594	72386	49271
595	72491	49138
596	72607	49013
597	72722	48886
598	72835	48759
599	72960	48640
600	73073	48512
601	73190	48388
602	73312	48267
603	73439	48148
604	73565	48030
605	73688	47909
606	73819	47794
607	73932	47666
608	74043	47538
609	74159	47413
610	74275	47288
611	74402	47170
612	74516	47043
613	74623	46913
614	74750	46794
615	74867	46670
616	74995	46553
617	75104	46424
618	75216	46296
619	75330	46170
620	75440	46042
621	75568	45924
622	75693	45805
623	75816	45684
624	75933	45560
625	76044	45432
626	76165	45310
627	76277	45183
628	76395	45060
629	76516	44938
630	76633	44814
631	76759	44695
632	76871	44568
633	76997	44449
634	77127	44332
635	77278	44228
636	77430	44124
637	77553	44003
638	77671	43880
639	77802	43763
640	77918	43639
641	78031	43513
642	78152	43390
643	78279	43272
644	78397	43148
645	78518	43027
646	78631	42901
647	78756	42781
648	78873	42657
649	78991	42533
650	79103	42407
651	79225	42285
652	79343	42162
653	79452	42034
654	79577	41914
655	79691	41789
656	79808	41665
657	79926	41542
658	80052	41423
659	80163	41296
660	80290	41177
661	80416	41058
662	80545	40940
663	80670	40821
664	80786	40697
665	80900	40571
666	81027	40452
667	81140	40327
668	81255	40202
669	81381	40083
670	81499	39960
671	81618	39837
672	81736	39714
673	81855	39591
674	81967	39465
675	82089	39344
676	82199	39217
677	82323	39097
678	82441	38974
679	82549	38846
680	82665	38723
681	82782	38599
682	82898	38475
683	83017	38353
684	83144	38234
685	83278	38118
686	83393	37994
687	83521	37875
688	83661	37763
689	83786	37643
690	83903	37519
691	84024	37398
692	84149	37278
693	84284	37163
694	84402	37039
695	84540	36925
696	84665	36805
697	84790	36685
698	84905	36561
699	85038	36444
700	85149	36319
701	85278	36200
702	85400	36079
703	85514	35954
704	85630	35831
705	85749	35708
706	85870	35587
707	85981	35461
708	86100	35338
709	86228	35220
710	86357	35101
711	86473	34977
712	86584	34852
713	86708	34731
714	86821	34607
715	86935	34482
716	87056	34361
717	87183	34242
718	87300	34118
719	87417	33995
720	87532	33871
721	87649	33748
722	87780	33630
723	87903	33510
724	88017	33386
725	88133	33262
726	88246	33137
727	88366	33016
728	88480	32892
729	88597	32768
730	88712	32645
731	88831	32522
732	88946	32399
733	89067	32277
734	89185	32155
735	89301	32032
736	89431	31913
737	89559	31794
738	89682	31673
739	89802	31552
740	89938	31436
741	90077	31320
742	90213	31204
743	90350	31088
744	90480	30969
745	90608	30850
746	90748	30735
747	90891	30621
748	91010	30498
749	91144	30381
750	91264	30259
751	91388	30138
752	91516	30019
753	91646	29900
754	91767	29778
755	91881	29654
756	91999	29532
757	92123	29411
758	92242	29289
759	92361	29166
760	92503	29051
761	92641	28935
762	92777	28818
763	92899	28696
764	93021	28575
765	93143	28453
766	93269	28333
767	93381	28208
768	93501	28086
769	93619	27964
770	93741	27842
771	93873	27724
772	93999	27603
773	94120	27482
774	94243	27360
775	94361	27238
776	94480	27116
777	94599	26993
778	94725	26873
779	94856	26754
780	94977	26632
781	95090	26508
782	95222	26389
783	95345	26268
784	95462	26145
785	95580	26023
786	95697	25900
787	95818	25778
788	95944	25658
789	96060	25535
790	96183	25413
791	96301	25291
792	96418	25168
793	96531	25044
794	96659	24924
795	96791	24805
796	96905	24682
797	97023	24559
798	97143	24437
799	97263	24315
800	97385	24194
801	97500	24071
802	97625	23950
803	97741	23827
804	97866	23706
805	97983	23584
806	98114	23464
807	98241	23344
808	98375	23225
809	98497	23104
810	98628	22984
811	98770	22868
812	98887	22745
813	99008	22623
814	99140	22504
815	99258	22381
816	99392	22262
817	99512	22140
818	99626	22017
819	99756	21897
820	99884	21777
821	100011	21656
822	100142	21537
823	100259	21414
824	100378	21292
825	100499	21170
826	100616	21047
827	100749	20928
828	100872	20807
829	100991	20685
830	101105	20561
831	101218	20438
832	101352	20319
833	101476	20197
834	101592	20075
835	101725	19955
836	101861	19836
837	101982	19715
838	102095	19591
839	102222	19470
840	102345	19349
841	102463	19227
842	102591	19106
843	102717	18985
844	102833	18863
845	102954	18741
846	103071	18618
847	103202	18498
848	103328	18377
849	103450	18255
850	103570	18133
851	103696	18013
852	103820	17891
853	103942	17770
854	104067	17648
855	104185	17526
856	104310	17405
857	104427	17282
858	104546	17160
859	104666	17038
860	104794	16918
861	104916	16796
862	105043	16675
863	105165	16553
864	105285	16431
865	105405	16309
866	105527	16188
867	105646	16066
868	105762	15943
869	105890	15822
870	106018	15701
871	106129	15578
872	106243	15455
873	106361	15333
874	106479	15211
875	106605	15090
876	106726	14968
877	106844	14846
878	106979	14726
879	107107	14605
880	107226	14483
881	107352	14362
882	107480	14241
883	107602	14119
884	107792	14006
885	107927	13886
886	108050	13765
887	108186	13645
888	108315	13524
889	108436	13402
890	108563	13281
891	108689	13159
892	108820	13038
893	108937	12916
894	109060	12794
895	109176	12672
896	109296	12550
897	109414	12427
898	109531	12305
899	109653	12183
900	109775	12061
901	109898	11940
902	110021	11818
903	110150	11697
904	110290	11577
905	110406	11454
906	110533	11333
907	110652	11211
908	110779	11090
909	110901	10968
910	111028	10846
911	111151	10725
912	111267	10602
913	111382	10480
914	111508	10358
915	111632	10237
916	111747	10114
917	111863	9992
918	111980	9869
919	112117	9749
920	112246	9628
921	112376	9506
922	112494	9384
923	112619	9263
924	112749	9141
925	112873	9020
926	113004	8898
927	113122	8776
928	113247	8655
929	113374	8533
930	113495	8411
931	113618	8289
932	113748	8168
933	113869	8046
934	113991	7924
935	114120	7803
936	114239	7681
937	114366	7559
938	114488	7437
939	114614	7315
940	114737	7193
941	114866	7072
942	114986	6950
943	115103	6828
944	115218	6705
945	115338	6583
946	115456	6461
947	115583	6339
948	115706	6218
949	115831	6096
950	115956	5974
951	116086	5853
952	116201	5730
953	116326	5609
954	116439	5486
955	116561	5364
956	116679	5242
957	116805	5120
958	116927	4998
959	117045	4876
960	117165	4754
961	117280	4632
962	117400	4510
963	117516	4388
964	117644	4266
965	117764	4144
966	117894	4023
967	118010	3901
968	118137	3779
969	118263	3657
970	118382	3535
971	118514	3413
972	118643	3292
973	118773	3170
974	118890	3048
975	119013	2926
976	119139	2804
977	119255	2682
978	119383	2560
979	119509	2438
980	119628	2316
981	119742	2194
982	119861	2072
983	119984	1950
984	120103	1828
985	120218	1706
986	120348	1585
987	120470	1463
988	120598	1341
989	120726	1219
990	120848	1097
991	120969	975
992	121091	853
993	121209	731
994	121332	609
995	121451	487
996	121564	365
997	121690	243
998	121815	121
999	121931	0
